domain,mobile_numbers,emails,source,name,sitename,query,notes
ehll.net,,information@ehll.net,https://ehll.net/,information,,San Jose CA youth baseball leagues,
ehll.net,,info@indiantypefoundry.com,https://ehll.net/,info,,San Jose CA youth baseball leagues,
ehll.net,408-479-0756,,https://ehll.net/,MembersAlumni2019 Gallery,,San Jose CA youth baseball leagues,
www.stlittleleague.org,,q32tptf070oga19n5ir48sv21o@group.calendar.google.com,https://www.stlittleleague.org/,q32tptf070oga19n5ir48sv21o,Santa Teresa Little League,San Jose CA youth baseball leagues,
www.stlittleleague.org,408-800-6755,,https://www.stlittleleague.org/,Gameday Volunteer Requirements,Santa Teresa Little League,San Jose CA youth baseball leagues,
www.lincolnglenbaseball.com,,lincolnglenbaseball@gmail.com,https://www.lincolnglenbaseball.com/,lincolnglenbaseball,"Lincoln Glen Little League, Inc.",San Jose CA youth baseball leagues,
www.lincolnglenbaseball.com,334-310-2497,,https://www.lincolnglenbaseball.com/,Rulebook App,"Lincoln Glen Little League, Inc.",San Jose CA youth baseball leagues,
sjbtc.com,,eben@eyebytes.com,https://sjbtc.com/,eben,San Jose Baseball Training Center - Bulldog Baseball,San Jose CA youth baseball leagues,
www.leaguelineup.com,,rhcoates@comcast.net,https://www.leaguelineup.com/welcome.asp?url=optimistpark,rhcoates,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,,brsouthhsv@comcast.net,https://www.leaguelineup.com/welcome.asp?url=optimistpark,brsouthhsv,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,256-651-9447,,https://www.leaguelineup.com/welcome.asp?url=optimistpark,Huntsville Babe Ruth League,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,256-975-9367,,https://www.leaguelineup.com/welcome.asp?url=optimistpark,Huntsville Babe Ruth,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,,emeraldponybaseball@gmail.com,https://www.leaguelineup.com/welcome.asp?url=emeraldpony,emeraldponybaseball,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,619-441-1538,,https://www.leaguelineup.com/welcome.asp?url=emeraldpony,Nick Guerra,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,,jasperyouthbaseball85@gmail.com,https://www.leaguelineup.com/welcome.asp?url=jasperyouthbaseball,jasperyouthbaseball85,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,812.630.5760,,https://www.leaguelineup.com/welcome.asp?url=jasperyouthbaseball,Babe Ruth All-Stars,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,812-630-5760,,https://www.leaguelineup.com/welcome.asp?url=jasperyouthbaseball,Jason Stamm,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,,21stwardregistrar@gmail.com,https://www.leaguelineup.com/welcome.asp?url=21stwardjl,21stwardregistrar,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,,pat@baberuthleague.org,https://www.leaguelineup.com/welcome.asp?url=21stwardjl,pat,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,,NICK.ROSLEY@HOTMAIL.COM,https://www.leaguelineup.com/welcome.asp?url=21stwardjl,NICK.ROSLEY,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,215-487-1559,,https://www.leaguelineup.com/welcome.asp?url=21stwardjl,Babe Ruth Background Screenings,AL,Huntsville AL youth baseball leagues,
www.leaguelineup.com,800-880-3142,,https://www.leaguelineup.com/welcome.asp?url=21stwardjl,Babe Ruth League,AL,Huntsville AL youth baseball leagues,
www.alumrocklittleleague.org,408-599-2952,,https://www.alumrocklittleleague.org/,Ready Rd ,,San Jose CA youth baseball leagues,
www.cpllbaseball.org,,info@cpllbaseball.org,https://www.cpllbaseball.org/contact,info,,San Jose CA youth baseball leagues,
